,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rade,pl_rads,pl_trandur,pl_tranmid,pl_ratror,pl_mnum,pl_st_npar,pl_st_nref,st_rah,st_glon,st_glat,st_elon,st_elat,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_logg,st_metfe,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_jmh2,st_hmk2,st_jmk2
2039,0,2,15.906801000000002,0.11699999999999999,0.22699999999999998,0,1,0,290.296515,37.74949,439.0,14.172,14.155999999999999,5094.0,,0.81,1,0,0,0.0,0,0,0.267,2.55,0.023,0.166,2455010.93315,,0,40,13,19.35310102,69.964876,10.840397,302.120654,58.946251000000004,2.23,449.22,-12.0,-14.0,18.4,-14.8,-15.7,21.6,4.55,,12.735,12.255,12.155,12.119000000000002,12.213,12.094000000000001,9.057,0.48,0.1,0.58
2040,0,1,3.03195744,,0.079,0,1,0,292.784608,43.215984000000006,529.0,13.421,13.385,5815.0,1.02,1.02,1,0,0,0.0,0,0,,0.89,0.008,0.06904,2454966.98988,0.00842,0,24,10,19.51897387,75.815203,11.562844,309.359847,63.574828000000004,1.96,509.87,3.1,5.5,6.3,3.1,5.5,6.3,4.43,0.04,12.247,11.912,11.868,11.809000000000001,11.843,12.017000000000001,9.396,0.335,0.044000000000000004,0.379
2041,0,1,1.00520701,,0.09699999999999999,0,1,0,296.923604,43.566466999999996,993.0,14.658,14.648,5957.0,1.07,1.11,1,0,0,0.0,0,0,,1.09,0.01,0.0675,2454965.45528,0.00945,0,24,10,19.79490693,77.554789,9.06511,315.842172,62.785956999999996,1.16,859.36,-0.5,1.4,1.5,-0.5,1.4,1.5,4.38,0.04,13.453,13.116,13.052999999999999,12.977,13.02,12.356,9.137,0.337,0.063,0.4
2042,0,1,64.2737752,,0.317,0,1,0,294.455709,46.743614,1315.0,15.589,15.273,5760.0,1.02,1.05,1,0,0,0.0,0,0,,3.55,0.033,0.4065,2455019.7100299997,0.03138,0,24,10,19.630380600000002,79.57733,12.092967999999999,315.109394,66.39445699999999,0.46,2190.84,-4.9,-12.1,13.0,-4.9,-12.1,13.0,4.41,0.11,14.169,13.902999999999999,13.849,,,,,0.266,0.054000000000000006,0.32
2043,0,1,3.43276598,,0.067,0,1,0,288.573588,51.472755,547.0,13.583,13.568,5765.0,1.0,0.99,1,0,0,0.0,0,0,,0.75,0.006999999999999999,0.17317000000000002,2454965.91355,0.00744,0,18,9,19.2382392,82.386799,17.549415,310.715894,72.292629,0.59,1697.74,-1.6,-0.7,1.7,-1.6,-0.7,1.7,4.45,0.02,12.41,12.079,12.013,11.958,12.005999999999998,12.047,9.076,0.331,0.066,0.397
2044,0,1,18.054038100000003,,0.131,0,1,0,290.58612400000004,46.642689000000004,872.0,15.004000000000001,14.953,5528.0,0.93,0.9,1,0,0,0.0,0,0,,1.47,0.013000000000000001,0.18370999999999998,2454980.79923,0.014980000000000002,0,28,11,19.37240827,78.303174,14.441514000000002,308.780215,67.330389,1.07,933.0,2.2,15.2,15.4,2.2,15.2,15.4,4.5,0.03,13.710999999999999,13.360999999999999,13.283,13.049000000000001,13.08,12.689,8.98,0.35,0.078,0.428
2045,0,1,1.53818844,,0.106,0,1,0,297.952967,40.806808000000004,657.0,15.329,15.432,4940.0,0.76,0.73,1,0,0,0.0,0,0,,1.19,0.011000000000000001,0.070925,2454965.4894,0.01489,0,24,9,19.86353113,75.509773,7.040878999999999,315.106493,59.944646,1.56,641.29,0.0,-1.3,1.3,0.0,-1.3,1.3,4.6,-0.16,13.917,13.318,13.259,,,,,0.599,0.059000000000000004,0.6579999999999999
2046,0,1,0.53991524,,0.07,0,1,0,283.58761400000003,40.574927,511.0,14.311,14.312000000000001,5254.0,0.84,0.81,1,0,0,0.0,0,0,,0.79,0.006999999999999999,0.04746,2454964.55175,0.00924,0,24,10,18.90584091,70.455901,16.738376000000002,293.085794,62.929421999999995,2.11,472.94,-11.8,-6.7,13.6,-11.4,-8.6,14.3,4.56,-0.07,12.946,12.478,12.435,12.386,12.455,12.267000000000001,9.123,0.46799999999999997,0.043,0.511
2047,0,1,153.979578,,0.244,0,1,0,286.6952,40.291819,1226.0,15.672,15.632,5655.0,0.95,0.93,1,0,0,0.0,0,0,,2.73,0.025,0.37475,2454998.4896,0.027089999999999996,0,28,11,19.11301335,71.127981,14.445879999999999,297.944298,62.121008999999994,0.8,1248.79,-9.8,21.4,23.5,-11.4,19.8,22.9,4.49,-0.03,14.370999999999999,13.969000000000001,13.992,13.866,13.841,12.43,9.356,0.402,-0.023,0.379
2048,0,1,20.925392000000002,,0.11599999999999999,0,1,0,289.182664,47.873383000000004,883.0,13.966,13.945,5956.0,1.09,1.19,1,0,0,0.0,0,0,,1.3,0.012,0.27571,2454967.895,0.01042,0,28,11,19.27884427,79.071727,15.809470999999998,307.596698,68.822598,1.06,941.12,1.8,-10.0,10.1,1.8,-10.0,10.1,4.32,0.09,12.929,12.639000000000001,12.618,12.562000000000001,12.606,12.133,9.043,0.29,0.021,0.311
