,features,score
159,"st_masserr2,st_masslim,st_optmaglim,st_wise1err",0.5
160,"pl_orbeccenlim,pl_ratrorerr1,pl_ratrorlim,pl_tranmid,st_h,st_metfe",0.5
161,"gaia_gmaglim,pl_bmasse,pl_radjerr1",0.5
162,"pl_insolerr2,st_nrvc,st_wise1",0.5
163,"pl_ratdorerr1,pl_tsystemref,st_radlim",0.5
164,"pl_orbeccenlim,st_jmk2,st_pmlim",0.5
165,"pl_radj,pl_rvflag,st_loggerr2,st_naxa",0.5
166,"pl_angseperr1,pl_pnum,pl_radjlim,st_colorn",0.5
167,"pl_status,st_elat,st_jmk2,st_metfe,st_wise1",0.5
168,"gaia_plxerr1,pl_angseperr1,pl_eqt",0.5
169,"pl_tranmiderr2,st_denslim,st_rad",0.5
170,"gaia_pmralim,pl_angsep,pl_bmassj",0.5
171,"st_elon,st_h,st_metfe",0.5
172,"st_herr,st_k,st_rad,st_sp",0.5
173,"pl_kepflag,pl_telescope,st_jerr,st_lum,st_metfeerr1,st_pmralim",0.55
174,"pl_ttvflag,st_elat,st_hmk2,st_naxa,st_vjerr",0.5
175,"ra,st_pmraerr,st_vjerr",0.4852941176470588
176,"ra,st_hlim,st_metfe",0.5
177,"pl_rads,st_lum,st_tefflim",0.5
178,"gaia_disterr1,pl_facility,pl_radeerr2,st_disterr2",0.5
179,"pl_orbsmaxerr2,st_hmk2err,st_kerr",0.5
180,"pl_masselim,st_loggerr2,st_vjerr",0.5
181,"pl_cbflag,pl_eqterr1,pl_orbperlim,st_k,st_pmra,st_teff",0.5
182,"pl_impparerr2,pl_impparlim,pl_ratdor,pl_tranflag,st_glat,st_klim,st_mass,st_wise4lim",0.5
183,"gaia_plx,pl_bmassj,pl_instrument,pl_rvamplim,pl_tranflag,st_disterr2,st_logg,st_wise2err",0.5
184,"pl_insolerr2,pl_radeerr1,pl_tranmid,st_nrvc",0.5
185,"pl_impparlim,pl_radserr1,st_jlim,st_mass",0.5
186,"dec,pl_radj,pl_radserr2",0.5
187,"gaia_plxlim,st_teff,st_wise2err",0.5
188,"pl_orbincl,pl_ratrorerr1,st_metfe,st_optmag,st_pm",0.5
189,"gaia_pmdeclim,pl_orbinclerr1,pl_radeerr2,st_metfe",0.5
190,"gaia_plxlim,pl_radserr1,pl_ratrorerr1,st_klim",0.5
191,"pl_bmassjlim,pl_ratdor,pl_tranmid,st_pmdecerr,st_wise1err",0.5
192,"pl_orbper,pl_tranmidlim,st_herr,st_hmk2err,st_jmh2lim,st_k,st_vjerr",0.5
193,"pl_orbinclerr1,pl_orbsmaxerr1,st_hlim,st_logglim,st_lumlim,st_photn",0.5
194,"pl_angsep,pl_rvflag,st_denserr2,st_disterr2,st_jmk2err,st_metfeerr1",0.5
195,"gaia_distlim,gaia_pmra,st_nts,st_vj",0.5
196,"gaia_gmaglim,pl_orbperlim,pl_radjlim,st_mass,st_nspec,st_radv",0.5
197,"pl_masselim,pl_pnum,pl_ratdorerr1,pl_ratrorerr2",0.5
198,"pl_eqterr1,pl_eqterr2,pl_imppar,st_jmk2lim,st_wise2",0.5
199,"gaia_plx,pl_orbincl,st_denslim,st_h,st_nrvc",0.5
200,"gaia_pmdec,pl_omflag,st_jmh2,st_radv",0.5
201,"pl_ttvflag,st_colorn,st_plxerr2,st_teff",0.5
202,"pl_bmassjlim,pl_orbsmaxlim,pl_radjerr2,st_lumerr2",0.5
203,"gaia_pmraerr,pl_orbinclerr2,pl_rade",0.5
204,"pl_insol,pl_orbsmaxlim,st_colorn",0.5
205,"st_glat,st_pmdec,st_wise2",0.5
206,"pl_bmassprov,pl_st_npar,pl_trandurlim,st_h,st_hlim",0.5
207,"pl_msinielim,pl_omflag,pl_radjerr2,pl_tsystemref,st_glon,st_radvlim",0.5
208,"gaia_disterr1,gaia_pmdec,st_loggerr1,st_pmdec",0.5
209,"pl_orbeccenlim,pl_orbpererr1,pl_ratdor,st_masserr1",0.5
210,"pl_ratdor,pl_trandurerr1,pl_tranflag,st_metratio",0.5
211,"pl_orbeccenerr2,pl_radjerr1,st_pmdeclim,st_wise1",0.5
212,"gaia_pmerr,pl_bmassprov,pl_radjerr2,st_tefflim,st_wise1",0.5
213,"gaia_pmraerr,pl_astflag,pl_masselim,st_pmralim",0.5
214,"pl_locale,pl_orbpererr1,pl_radj",0.525
215,"gaia_plx,pl_bmasseerr2,pl_facility,pl_status,st_elon,st_klim",0.5
216,"pl_disc,st_optmaglim,st_vjlim",0.5
217,"pl_tsystemref,st_hlim,st_optmag",0.5
218,"pl_omflag,pl_radslim,st_logglim",0.5
219,"gaia_plxlim,pl_radserr2,st_jmk2lim",0.5
220,"gaia_pm,pl_ratror,st_jmk2",0.5
221,"pl_msinielim,pl_orbeccen,pl_orbpererr2,st_pmraerr,st_teff,st_wise1",0.5
222,"st_ageerr2,st_glat,st_herr",0.5
223,"pl_astflag,st_glon,st_nrvc",0.5
224,"st_raderr1,st_teff,st_tefferr1,st_wise2lim",0.5
225,"gaia_disterr2,pl_trandurerr1,st_distlim",0.5
226,"pl_radserr2,pl_tranmiderr2,st_dist",0.5
227,"pl_rads,st_j,st_pmdeclim",0.5
228,"gaia_pmdec,pl_eqt,pl_radslim,pl_tranmid,st_distlim,st_glon,st_herr,st_loggerr1",0.5
229,"gaia_pmdeclim,pl_orbeccen,pl_orbsmaxerr2,pl_radjerr2,pl_tranmiderr2,st_wise2",0.5
230,"pl_orbsmaxerr2,pl_ttvflag,st_logg,st_metfeerr2",0.5
231,"gaia_pmerr,ra,st_tefflim",0.5
232,"gaia_dist,pl_omflag,st_masserr2",0.5
233,"pl_disc,pl_imgflag,pl_orbsmaxerr1,st_logglim",0.5
234,"gaia_pmdec,pl_eqt,pl_ratdorerr1,pl_tranflag,st_dist,st_hmk2,st_jmh2lim,st_raderr1",0.5
235,"pl_instrument,st_jmh2err,st_jmk2,st_photn,st_raderr2,st_radlim,st_vj,st_wise1err",0.5
236,"pl_orbincl,pl_trandur,st_metratio,st_wise1lim",0.5
237,"pl_controvflag,pl_orbincl,st_optmag",0.5
238,"pl_tranmiderr1,pl_tranmidlim,st_ageerr2,st_distlim,st_herr",0.5
239,"pl_orbeccenlim,pl_ratrorlim,pl_rvflag,st_glon,st_jmh2lim,st_loggerr2,st_nplc",0.5
240,"gaia_pm,pl_bmassj,st_jmk2err",0.5
241,"pl_impparlim,pl_radjlim,st_loggerr1",0.5
242,"gaia_gmaglim,gaia_plx,pl_orbinclerr2,pl_orbincllim,pl_ratrorerr2,st_lumlim,st_nplc,st_wise2lim,st_wise3err",0.5
243,"gaia_plxerr1,gaia_pmdecerr,gaia_pmra,pl_orbeccenlim",0.5
244,"pl_angseperr2,st_ageerr2,st_disterr1,st_tefflim",0.5
245,"pl_denslim,pl_impparlim,pl_msinijlim,st_wise4lim",0.5
246,"pl_bmasse,pl_bmassjlim,pl_orbeccen,st_elon,st_masslim,st_tefferr2,st_wise1lim",0.5
247,"pl_radserr1,pl_tsystemref,st_ageerr1,st_hmk2,st_kerr,st_nplc,st_tefflim",0.5
248,"st_ageerr2,st_hmk2,st_jmk2",0.5
249,"gaia_distlim,pl_impparlim,pl_orbperlim,pl_orbsmax,pl_ratdor",0.5
250,"st_ageerr1,st_metratio,st_wise2err",0.5
251,"pl_facility,pl_letter,pl_msinielim,pl_orbtperlim,st_photn",0.5
252,"gaia_pmralim,pl_insollim,pl_ratdorlim,st_hlim,st_vjerr",0.5
253,"pl_discmethod,st_nglc,st_wise2lim",0.5
254,"gaia_pmra,pl_imgflag,pl_nnotes,pl_st_npar,pl_trandurlim,st_plxlim,st_wise3lim",0.5
255,"pl_trandurerr1,st_hmk2err,st_nrvc",0.5
256,"pl_pnum,pl_rvamperr1,pl_tsystemref,st_wise4lim",0.5
257,"pl_astflag,pl_orbsmax,st_teff",0.5
258,"gaia_gmaglim,pl_instrument,pl_orbperlim,st_metfeerr1",0.5
259,"pl_locale,pl_orbsmaxerr1,st_j,st_logg,st_pmralim,st_wise3lim",0.5
260,"pl_bmassjerr1,pl_kepflag,pl_radjlim,st_rah",0.5
261,"pl_eqterr2,pl_orbsmaxlim,st_jmk2lim,st_loggerr1,st_metfeerr1",0.5
262,"gaia_pmdec,pl_orbeccenerr1,pl_pnum,st_herr,st_jlim,st_nspec",0.5
263,"pl_orbeccenerr1,pl_orbsmax,st_hmk2lim",0.5
264,"dec,pl_orbeccenerr2,st_jmh2err",0.5
265,"st_jmh2err,st_lumerr1,st_metfelim",0.5
266,"pl_rvamplim,st_jlim,st_metratio",0.5
267,"gaia_plxlim,pl_impparlim,st_pmlim,st_pmralim",0.5
268,"pl_rads,pl_tranmid,st_glat",0.5
269,"gaia_plxerr1,gaia_plxerr2,pl_orbsmaxlim,st_kerr,st_masserr1",0.5
270,"pl_insol,st_kerr,st_optband",0.5
271,"pl_impparerr2,pl_orbincllim,pl_radj,st_k,st_mass",0.5
272,"pl_bmassj,st_metfeerr1,st_tefferr2,st_vjlim",0.5
273,"gaia_disterr1,pl_tranmiderr1,st_hmk2lim",0.5
274,"st_logglim,st_optband,st_vjerr",0.5
275,"pl_angsep,pl_orbeccenlim,st_metfeerr1,st_nspec,st_pmlim,st_pmralim,st_raderr2",0.5
276,"pl_ratror,st_tefferr1,st_tefferr2",0.5
277,"pl_orbsmaxerr1,pl_tsystemref,st_masserr1,st_wise1",0.5
278,"pl_disc,pl_kepflag,pl_orbeccenlim,st_jlim",0.5
279,"pl_bmasse,pl_denslim,st_wise1lim",0.5
280,"dec,pl_rvamp,st_wise1lim",0.5
281,"pl_locale,pl_tsystemref,st_optband,st_raderr2,st_wise1lim",0.5
282,"gaia_pmralim,pl_orbpererr2,pl_rads,st_dist,st_glat,st_hmk2lim",0.5
283,"pl_imgflag,pl_rvflag,st_k",0.5
284,"pl_tranmiderr1,st_denslim,st_nrvc,st_vjlim",0.5
285,"gaia_distlim,pl_orbsmaxerr2,st_pmlim,st_radverr1,st_teff",0.5
286,"gaia_disterr1,pl_angseperr1,pl_radserr1",0.5
287,"pl_bmassprov,pl_msinielim,pl_orbincllim",0.5
288,"gaia_plxlim,pl_tranmid,st_metfeerr1,st_nplc",0.5
289,"gaia_pmerr,pl_k2flag,pl_st_npar,st_glon,st_photn",0.5
290,"pl_orbeccenlim,pl_radelim,pl_rvamplim,st_herr",0.5
291,"gaia_disterr2,st_jmk2lim,st_k,st_plxerr1,st_wise2",0.5
292,"pl_controvflag,st_kerr,st_metfelim",0.5
293,"pl_impparerr1,pl_nnotes,pl_orbperlim,st_nrvc",0.5
294,"gaia_pmralim,st_jmk2,st_wise2",0.5
295,"st_ageerr1,st_jmh2err,st_pmra",0.5
296,"gaia_pmralim,pl_angseperr1,pl_radjerr1",0.5
297,"pl_rvamperr2,pl_status,st_wise3lim",0.5
298,"gaia_disterr1,gaia_pmdecerr,gaia_pmra,pl_locale,pl_status",0.525
299,"gaia_gmag,gaia_plxlim,pl_bmassj,st_hmk2,st_jmh2,st_rah",0.5
300,"pl_bmasselim,pl_imgflag,st_h,st_optmaglim,st_pmlim",0.5
301,"pl_impparerr1,pl_instrument,pl_orbeccen",0.5
302,"gaia_pmdecerr,pl_eqterr2,pl_instrument,pl_pnum,pl_tranmiderr2,pl_ttvflag,st_denserr1,st_glat,st_glon,st_jmk2,st_loggerr1,st_radlim",0.5
303,"gaia_pm,pl_angsep,pl_imgflag,st_nts,st_plx,st_radv",0.5
